"Date","Tweets"
"2021-02-24", 3
"2021-02-22", 2
"2021-02-21", 2
"2021-02-20", 6
"2021-02-19", 1
"2021-02-17", 1
"2021-02-16", 3
"2021-02-15", 6
"2021-02-12", 1
"2021-02-11", 3
"2021-02-10", 8
"2021-02-09", 1
"2021-02-08", 7
"2021-02-07", 2
"2021-02-06", 2
"2021-02-04", 7
"2021-01-29", 2
"2021-01-28", 3
"2021-01-27", 1
"2021-01-07", 1
"2020-12-20", 7
"2020-07-18", 1
"2020-05-01", 2
"2020-05-02", 1
"2020-04-10", 1
"2020-01-03", 1
